source_db,term_id,term_name,p_adj,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05161,Hepatitis B,3.41580300258529e-05,True,Hepatitis B,162,10,5,8484,0.5,0.030864197530864196,query_1,['KEGG:00000']
GO:BP,GO:0007346,regulation of mitotic cell cycle,3.59118895816759e-05,True,"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",492,10,6,21026,0.6,0.012195121951219513,query_1,"['GO:0000278', 'GO:0051726']"
GO:BP,GO:0045930,negative regulation of mitotic cell cycle,3.765239815953632e-05,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",225,10,5,21026,0.5,0.022222222222222223,query_1,"['GO:0000278', 'GO:0007346', 'GO:0045786']"
GO:BP,GO:1902893,regulation of miRNA transcription,3.785291699369918e-05,True,"""Any process that modulates the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]",76,10,4,21026,0.4,0.05263157894736842,query_1,"['GO:0006355', 'GO:0061614', 'GO:2000628']"
REAC,REAC:R-HSA-5633007,Regulation of TP53 Activity,3.985670471493443e-05,True,Regulation of TP53 Activity,160,10,5,11004,0.5,0.03125,query_1,['REAC:R-HSA-3700989']
GO:BP,GO:0040007,growth,3.9914294948720766e-05,True,"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]",929,10,7,21026,0.7,0.007534983853606028,query_1,['GO:0008150']
GO:BP,GO:0061614,miRNA transcription,3.991791300685543e-05,True,"""The cellular synthesis of microRNA (miRNA) transcripts. MicroRNA genes are synthesized as primary (pri) miRNA transcripts and subsequently processed to produce the ~22nt miRNAs that function in gene regulation."" [GOC:dph, GOC:kmv, PMID:18778799]",77,10,4,21026,0.4,0.05194805194805195,query_1,"['GO:0006351', 'GO:0010586']"
GO:BP,GO:0050793,regulation of developmental process,4.17461913838993e-05,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2457,10,9,21026,0.9,0.003663003663003663,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0042327,positive regulation of phosphorylation,4.2433513225856946e-05,True,"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule."" [GOC:jl]",506,10,6,21026,0.6,0.011857707509881422,query_1,"['GO:0016310', 'GO:0042325', 'GO:0045937']"
KEGG,KEGG:05221,Acute myeloid leukemia,4.4169338249344275e-05,True,Acute myeloid leukemia,67,10,4,8484,0.4,0.05970149253731343,query_1,['KEGG:00000']
GO:BP,GO:0045595,regulation of cell differentiation,4.4708381023783725e-05,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1576,10,8,21026,0.8,0.005076142131979695,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0008284,positive regulation of cell population proliferation,4.79409400191433e-05,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",954,10,7,21026,0.7,0.007337526205450734,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']"
GO:BP,GO:0019220,regulation of phosphate metabolic process,4.863853396091578e-05,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]",956,10,7,21026,0.7,0.007322175732217573,query_1,"['GO:0006796', 'GO:0051174']"
GO:BP,GO:0051174,regulation of phosphorus metabolic process,4.89905610908163e-05,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]",957,10,7,21026,0.7,0.0073145245559038665,query_1,"['GO:0006793', 'GO:0019222']"
GO:BP,GO:0080135,regulation of cellular response to stress,4.933961316526244e-05,True,"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",519,10,6,21026,0.6,0.011560693641618497,query_1,"['GO:0033554', 'GO:0050794', 'GO:0080134']"
KEGG,KEGG:05223,Non-small cell lung cancer,5.9116856746615785e-05,True,Non-small cell lung cancer,72,10,4,8484,0.4,0.05555555555555555,query_1,['KEGG:00000']
KEGG,KEGG:01524,Platinum drug resistance,5.9116856746615785e-05,True,Platinum drug resistance,72,10,4,8484,0.4,0.05555555555555555,query_1,['KEGG:00000']
REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,5.974609215606607e-05,True,Transcriptional Regulation by TP53,359,10,6,11004,0.6,0.016713091922005572,query_1,['REAC:R-HSA-212436']
GO:BP,GO:0006950,response to stress,6.275984580347724e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,10,10,21026,1.0,0.0025329280648429585,query_1,['GO:0050896']
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,6.977367131708143e-05,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,10,10,21026,1.0,0.002506265664160401,query_1,"['GO:0006139', 'GO:0080090']"
GO:BP,GO:0044087,regulation of cellular component biogenesis,7.152360040074771e-05,True,"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]",1011,10,7,21026,0.7,0.006923837784371909,query_1,"['GO:0044085', 'GO:0050794']"
KEGG,KEGG:05220,Chronic myeloid leukemia,7.355532011607945e-05,True,Chronic myeloid leukemia,76,10,4,8484,0.4,0.05263157894736842,query_1,['KEGG:00000']
GO:BP,GO:2000628,regulation of miRNA metabolic process,7.514716897844393e-05,True,"""Any process that modulates the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",90,10,4,21026,0.4,0.044444444444444446,query_1,"['GO:0010586', 'GO:0051252']"
GO:BP,GO:0042127,regulation of cell population proliferation,7.567357884462435e-05,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1685,10,8,21026,0.8,0.004747774480712166,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0045937,positive regulation of phosphate metabolic process,7.74961530410258e-05,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]",560,10,6,21026,0.6,0.010714285714285714,query_1,"['GO:0006796', 'GO:0010562', 'GO:0019220']"
GO:BP,GO:0010562,positive regulation of phosphorus metabolic process,7.74961530410258e-05,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]",560,10,6,21026,0.6,0.010714285714285714,query_1,"['GO:0006793', 'GO:0009893', 'GO:0051174']"
GO:BP,GO:0045893,positive regulation of DNA-templated transcription,8.001600094455088e-05,True,"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1697,10,8,21026,0.8,0.004714201532115498,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902680']"
GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,8.076041677540582e-05,True,"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1699,10,8,21026,0.8,0.004708652148322542,query_1,"['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']"
GO:BP,GO:0010001,glial cell differentiation,8.363746534414623e-05,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."" [GOC:go_curators, GOC:mtg_sensu]",264,10,5,21026,0.5,0.01893939393939394,query_1,"['GO:0030154', 'GO:0042063']"
GO:BP,GO:0009887,animal organ morphogenesis,8.806056140511416e-05,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",1042,10,7,21026,0.7,0.0067178502879078695,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0031399,regulation of protein modification process,9.221429373686416e-05,True,"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",1049,10,7,21026,0.7,0.00667302192564347,query_1,"['GO:0036211', 'GO:0051246']"
GO:BP,GO:0009891,positive regulation of biosynthetic process,9.528419288654604e-05,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2696,10,9,21026,0.9,0.0033382789317507417,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0009653,anatomical structure morphogenesis,0.00010075555814617791,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2713,10,9,21026,0.9,0.003317360855141909,query_1,"['GO:0032502', 'GO:0048856']"
KEGG,KEGG:04510,Focal adhesion,0.0001021884543690083,True,Focal adhesion,202,10,5,8484,0.5,0.024752475247524754,query_1,['KEGG:00000']
GO:MF,GO:0004672,protein kinase activity,0.0001114119086797499,True,"""Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."" [PMID:25399640]",786,10,6,20246,0.6,0.007633587786259542,query_1,"['GO:0016301', 'GO:0016773', 'GO:0140096']"
GO:BP,GO:1901698,response to nitrogen compound,0.00011267576552481814,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",1080,10,7,21026,0.7,0.006481481481481481,query_1,['GO:0042221']
GO:BP,GO:0051726,regulation of cell cycle,0.00011779551779453517,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",1087,10,7,21026,0.7,0.006439742410303588,query_1,"['GO:0007049', 'GO:0050794']"
GO:BP,GO:0007507,heart development,0.0001225449403074608,True,"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]",605,10,6,21026,0.6,0.009917355371900827,query_1,"['GO:0048513', 'GO:0072359']"
GO:BP,GO:0010647,positive regulation of cell communication,0.00012437943714810158,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1795,10,8,21026,0.8,0.004456824512534819,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:0023056,positive regulation of signaling,0.00012492452587024665,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1796,10,8,21026,0.8,0.004454342984409799,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:1901796,regulation of signal transduction by p53 class mediator,0.00014556355045284758,True,"""Any process that modulates the frequency, rate or extent of signal transduction by p53 class mediator."" [GOC:TermGenie]",106,10,4,21026,0.4,0.03773584905660377,query_1,"['GO:0072331', 'GO:1902531']"
GO:BP,GO:0010586,miRNA metabolic process,0.00014556355045284758,True,"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]",106,10,4,21026,0.4,0.03773584905660377,query_1,['GO:0016070']
GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.00014787010769718356,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1835,10,8,21026,0.8,0.004359673024523161,query_1,"['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']"
GO:BP,GO:0036211,protein modification process,0.00015409847915496606,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2846,10,9,21026,0.9,0.003162333099086437,query_1,"['GO:0019538', 'GO:0043412']"
GO:BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0001554680036451133,True,"""An intracellular signaling cassette that starts with phosphatidylinositol 3-kinase (PI3K) activation, production of phosphatidylinositol 3-phosphate (PI3P), activation of PDK1, which recruits and ending with the activation of protein kinase B (PKB, also known as Akt). PI3K is activated by cell surface receptors. Note that PTEN is an inhibitor of the pathway."" [PMID:20517722, PMID:22952397]",299,10,5,21026,0.5,0.016722408026755852,query_1,['GO:0141124']
KEGG,KEGG:05208,Chemical carcinogenesis - reactive oxygen species,0.00015934988001092124,True,Chemical carcinogenesis - reactive oxygen species,221,10,5,8484,0.5,0.02262443438914027,query_1,['KEGG:00000']
GO:BP,GO:0033043,regulation of organelle organization,0.0001714349382141034,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:mah]",1148,10,7,21026,0.7,0.006097560975609756,query_1,"['GO:0006996', 'GO:0051128']"
REAC,REAC:R-HSA-5628897,TP53 Regulates Metabolic Genes,0.00017603944513105028,True,TP53 Regulates Metabolic Genes,84,10,4,11004,0.4,0.047619047619047616,query_1,['REAC:R-HSA-3700989']
GO:BP,GO:1901699,cellular response to nitrogen compound,0.00017901561431402847,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",645,10,6,21026,0.6,0.009302325581395349,query_1,"['GO:0070887', 'GO:1901698']"
KEGG,KEGG:05231,Choline metabolism in cancer,0.00020451923039126334,True,Choline metabolism in cancer,98,10,4,8484,0.4,0.04081632653061224,query_1,['KEGG:00000']
GO:BP,GO:0036293,response to decreased oxygen levels,0.00020465878612492753,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",316,10,5,21026,0.5,0.015822784810126583,query_1,['GO:0070482']
GO:BP,GO:0062197,cellular response to chemical stress,0.00020789690395361327,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]",317,10,5,21026,0.5,0.015772870662460567,query_1,"['GO:0033554', 'GO:0070887']"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.00020947082714885913,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1182,10,7,21026,0.7,0.005922165820642978,query_1,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0051239,regulation of multicellular organismal process,0.00021572182697897116,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,10,9,21026,0.9,0.003044654939106901,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0060485,mesenchyme development,0.00021785630041246996,True,"""The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells."" [GOC:dph]",320,10,5,21026,0.5,0.015625,query_1,"['GO:0009888', 'GO:0048513']"
GO:BP,GO:0062012,regulation of small molecule metabolic process,0.00021785630041246996,True,"""Any process that modulates the rate, frequency or extent of a small molecule metabolic process."" [GOC:vw]",320,10,5,21026,0.5,0.015625,query_1,"['GO:0019222', 'GO:0044281']"
GO:BP,GO:0045596,negative regulation of cell differentiation,0.00022613741387583517,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",671,10,6,21026,0.6,0.00894187779433681,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048523', 'GO:0051093']"
GO:BP,GO:0043009,chordate embryonic development,0.00022613741387583517,True,"""The process whose specific outcome is the progression of the embryo over time, from zygote formation through a stage including a notochord and neural tube until birth or egg hatching."" [GOC:mtg_sensu]",671,10,6,21026,0.6,0.00894187779433681,query_1,['GO:0009792']
GO:BP,GO:0007610,behavior,0.00023217853116860556,True,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",674,10,6,21026,0.6,0.008902077151335312,query_1,['GO:0032501']
REAC,REAC:R-HSA-1643685,Disease,0.00023820586774514556,True,Disease,1843,10,9,11004,0.9,0.0048833423765599565,query_1,['REAC:0000000']
REAC,REAC:R-HSA-2219528,PI3K/AKT Signaling in Cancer,0.00024309560406019943,True,PI3K/AKT Signaling in Cancer,91,10,4,11004,0.4,0.04395604395604396,query_1,['REAC:R-HSA-5663202']
GO:MF,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",0.0002565285728039486,True,"""Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor)."" [EC:2.7.1.-]",906,10,6,20246,0.6,0.006622516556291391,query_1,['GO:0016772']
REAC,REAC:R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.00026047651819779803,True,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,23,10,3,11004,0.3,0.13043478260869565,query_1,['REAC:R-HSA-9009391']
GO:BP,GO:0071495,cellular response to endogenous stimulus,0.00026467310467695183,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1223,10,7,21026,0.7,0.005723630417007359,query_1,['GO:0009719']
GO:BP,GO:0043412,macromolecule modification,0.00026858976254126403,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3030,10,9,21026,0.9,0.0029702970297029703,query_1,['GO:0043170']
KEGG,KEGG:05131,Shigellosis,0.00027017474956171454,True,Shigellosis,246,10,5,8484,0.5,0.02032520325203252,query_1,['KEGG:00000']
GO:BP,GO:0009792,embryo development ending in birth or egg hatching,0.00027129579195516655,True,"""The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",692,10,6,21026,0.6,0.008670520231213872,query_1,['GO:0009790']
GO:BP,GO:0009966,regulation of signal transduction,0.00027174862173231644,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,10,9,21026,0.9,0.002966381015161503,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0051129,negative regulation of cellular component organization,0.0002928068806686918,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",701,10,6,21026,0.6,0.008559201141226819,query_1,"['GO:0016043', 'GO:0048523', 'GO:0051128']"
GO:BP,GO:0008283,cell population proliferation,0.00030789219436538337,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2015,10,8,21026,0.8,0.003970223325062035,query_1,['GO:0009987']
GO:BP,GO:0070482,response to oxygen levels,0.0003119448714653175,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]",344,10,5,21026,0.5,0.014534883720930232,query_1,['GO:0009628']
GO:BP,GO:0009888,tissue development,0.00032881884510550487,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2032,10,8,21026,0.8,0.003937007874015748,query_1,['GO:0048856']
REAC,REAC:R-HSA-199418,Negative regulation of the PI3K/AKT network,0.00034119324858597797,True,Negative regulation of the PI3K/AKT network,99,10,4,11004,0.4,0.04040404040404041,query_1,['REAC:R-HSA-1257604']
GO:BP,GO:0070848,response to growth factor,0.0003456908534557028,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]",721,10,6,21026,0.6,0.008321775312066574,query_1,['GO:0009719']
GO:BP,GO:0022402,cell cycle process,0.0003616371306344289,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1280,10,7,21026,0.7,0.00546875,query_1,"['GO:0007049', 'GO:0009987']"
GO:BP,GO:0021782,glial cell development,0.0003738539785353916,True,"""The process aimed at the progression of a glial cell over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",134,10,4,21026,0.4,0.029850746268656716,query_1,"['GO:0010001', 'GO:0048468']"
GO:BP,GO:0019538,protein metabolic process,0.0003758911931792301,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4721,10,10,21026,1.0,0.0021181952976064393,query_1,"['GO:0043170', 'GO:0044238']"
GO:CC,GO:0043073,germ cell nucleus,0.00041229513171439343,True,"""The nucleus of a germ cell, a reproductive cell in multicellular organisms."" [CL:0000586, GOC:go_curators]",71,10,3,22149,0.3,0.04225352112676056,query_1,['GO:0005634']
GO:MF,GO:0016301,kinase activity,0.00045694091041548505,True,"""Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [ISBN:0198506732]",1000,10,6,20246,0.6,0.006,query_1,['GO:0016772']
GO:MF,GO:0016740,transferase activity,0.0004592203295547976,True,"""Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [EC:2.-.-.-]",2594,10,8,20246,0.8,0.0030840400925212026,query_1,['GO:0003824']
KEGG,KEGG:04071,Sphingolipid signaling pathway,0.00045928840460961916,True,Sphingolipid signaling pathway,120,10,4,8484,0.4,0.03333333333333333,query_1,['KEGG:00000']
GO:BP,GO:0009968,negative regulation of signal transduction,0.00046049363881033213,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."" [GOC:sm]",1326,10,7,21026,0.7,0.005279034690799397,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']"
GO:BP,GO:0071456,cellular response to hypoxia,0.0004717957655251635,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:mah]",142,10,4,21026,0.4,0.028169014084507043,query_1,"['GO:0001666', 'GO:0033554', 'GO:0036294']"
GO:BP,GO:0045786,negative regulation of cell cycle,0.00049116790393964,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",377,10,5,21026,0.5,0.013262599469496022,query_1,"['GO:0007049', 'GO:0048523', 'GO:0051726']"
GO:BP,GO:0050767,regulation of neurogenesis,0.0004976519604076248,True,"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]",378,10,5,21026,0.5,0.013227513227513227,query_1,"['GO:0022008', 'GO:0051960', 'GO:0060284']"
REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.0005072961831279238,True,Signaling by Receptor Tyrosine Kinases,516,10,6,11004,0.6,0.011627906976744186,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,0.000539975794506861,True,Interleukin-4 and Interleukin-13 signaling,111,10,4,11004,0.4,0.036036036036036036,query_1,['REAC:R-HSA-449147']
KEGG,KEGG:05216,Thyroid cancer,0.0005505110971988902,True,Thyroid cancer,37,10,3,8484,0.3,0.08108108108108109,query_1,['KEGG:00000']
GO:BP,GO:0035051,cardiocyte differentiation,0.0006035642906708688,True,"""The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell that will form part of the cardiac organ of an individual."" [GOC:bf]",151,10,4,21026,0.4,0.026490066225165563,query_1,"['GO:0007507', 'GO:0030154']"
KEGG,KEGG:04926,Relaxin signaling pathway,0.0006123932099169999,True,Relaxin signaling pathway,129,10,4,8484,0.4,0.031007751937984496,query_1,['KEGG:00000']
GO:MF,GO:0004674,protein serine/threonine kinase activity,0.0006280750815394771,True,"""Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."" [EC:2.7.11.-, GOC:bf, PMID:2956925]",557,10,5,20246,0.5,0.008976660682226212,query_1,['GO:0004672']
GO:BP,GO:0016242,negative regulation of macroautophagy,0.0006378867230713443,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of macroautophagy."" [GOC:go_curators]",36,10,3,21026,0.3,0.08333333333333333,query_1,"['GO:0010507', 'GO:0016236', 'GO:0016241']"
GO:BP,GO:0009411,response to UV,0.0006701874755050865,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]",155,10,4,21026,0.4,0.025806451612903226,query_1,['GO:0009416']
GO:BP,GO:0071276,cellular response to cadmium ion,0.0006939973705260263,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus."" [GOC:mah]",37,10,3,21026,0.3,0.08108108108108109,query_1,"['GO:0046686', 'GO:0071248']"
GO:BP,GO:0009892,negative regulation of metabolic process,0.0006976946869233258,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3375,10,9,21026,0.9,0.0026666666666666666,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048523']"
GO:CC,GO:0043233,organelle lumen,0.0007010648098357541,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",6695,10,10,22149,1.0,0.0014936519790888724,query_1,"['GO:0031974', 'GO:0043226']"
