term_name,p_value,z_score,combined_score,overlapping_genes,p_adj,lib
MAPK Cascade (GO:0000165),0.0010424119627603938,51.807291666666664,355.7201614766498,"['MYC', 'MAPK1']",0.0054943797203829085,GO_Biological_Process_2023
Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),0.0010424119627603938,51.807291666666664,355.7201614766498,"['TP53', 'VEGFA']",0.0054943797203829085,GO_Biological_Process_2023
Nervous System Development (GO:0007399),0.0010797557970327562,19.495016611295682,133.17085572702007,"['PTEN', 'EGFR', 'VEGFA']",0.005651963103088703,GO_Biological_Process_2023
Negative Regulation Of DNA-templated Transcription (GO:0045892),0.001123002195782981,12.385896180215475,84.12190602145668,"['MYC', 'BRCA1', 'TP53', 'VEGFA']",0.0058380730588991955,GO_Biological_Process_2023
Positive Regulation Of Vasculature Development (GO:1904018),0.0011727816519245243,48.745098039215684,328.95029221317066,"['BRCA1', 'VEGFA']",0.006047890515417406,GO_Biological_Process_2023
Intrinsic Apoptotic Signaling Pathway (GO:0097193),0.0011952352797267602,48.269417475728154,324.82480811164004,"['BRCA1', 'TP53']",0.006047890515417406,GO_Biological_Process_2023
Cellular Response To Organonitrogen Compound (GO:0071417),0.0011952352797267602,48.269417475728154,324.82480811164004,"['BRCA1', 'MTOR']",0.006047890515417406,GO_Biological_Process_2023
Negative Regulation Of MAPK Cascade (GO:0043409),0.0011952352797267602,48.269417475728154,324.82480811164004,"['MYC', 'PTEN']",0.006047890515417406,GO_Biological_Process_2023
Regulation Of Cellular Response To Stress (GO:0080135),0.0012407627251969484,47.345238095238095,316.8357057532792,"['BRCA1', 'MTOR']",0.006236681512744926,GO_Biological_Process_2023
Response To Tumor Necrosis Factor (GO:0034612),0.0012638362023541677,46.89622641509434,312.96682441721515,"['AKT1', 'BRCA1']",0.0063108662999132445,GO_Biological_Process_2023
Mitotic Cell Cycle Phase Transition (GO:0044772),0.0013342936091659378,45.59862385321101,301.8333994032146,"['MYC', 'CDK2']",0.006619142806254554,GO_Biological_Process_2023
Small GTPase Mediated Signal Transduction (GO:0007264),0.0013581911701031112,45.18181818181818,298.27235807102574,"['CDK2', 'TP53']",0.00665266893585531,GO_Biological_Process_2023
Regulation Of DNA-templated Transcription (GO:0006355),0.001358581930247132,9.42775169535733,62.23554757289208,"['MYC', 'AKT1', 'BRCA1', 'TP53', 'EGFR']",0.00665266893585531,GO_Biological_Process_2023
Regulation Of Protein Ubiquitination (GO:0031396),0.0013822943268056002,44.77252252252252,294.7827630862282,"['AKT1', 'BRCA1']",0.0067253935515734,GO_Biological_Process_2023
Regulation Of Cytoskeleton Organization (GO:0051493),0.0014066029101133422,44.370535714285715,291.36257325115224,"['MAPK1', 'MTOR']",0.006757035498582448,GO_Biological_Process_2023
Regulation Of MAP Kinase Activity (GO:0043405),0.0014066029101133422,44.370535714285715,291.36257325115224,"['EGFR', 'VEGFA']",0.006757035498582448,GO_Biological_Process_2023
Positive Regulation Of Angiogenesis (GO:0045766),0.0015312212856459892,42.46367521367522,275.23636354227165,"['BRCA1', 'VEGFA']",0.007309414816385571,GO_Biological_Process_2023
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.0016084465825751896,41.395833333333336,266.2781358151417,"['AKT1', 'MTOR']",0.007630068476091057,GO_Biological_Process_2023
Negative Regulation Of Growth (GO:0045926),0.0016609499087460063,40.71311475409836,260.57881938904427,"['BRCA1', 'TP53']",0.007781857905791474,GO_Biological_Process_2023
Regulation Of DNA Metabolic Process (GO:0051052),0.0016609499087460063,40.71311475409836,260.57881938904427,"['MYC', 'BRCA1']",0.007781857905791474,GO_Biological_Process_2023
Negative Regulation Of Cell Growth (GO:0030308),0.0016875070037332125,40.38008130081301,257.80674959416353,"['BRCA1', 'TP53']",0.007857778011248517,GO_Biological_Process_2023
Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.0017355810029632917,8.881364310430055,56.45362000120683,"['MYC', 'BRCA1', 'TP53', 'EGFR', 'VEGFA']",0.008032353544202063,GO_Biological_Process_2023
Regulation Of DNA Repair (GO:0006282),0.0017957676618057788,39.1003937007874,247.20530595871244,"['BRCA1', 'EGFR']",0.008260531244306582,GO_Biological_Process_2023
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),0.0018233400535626742,38.79296875,244.6705616096702,"['TP53', 'VEGFA']",0.008336837955747408,GO_Biological_Process_2023
Epithelial Cell Differentiation (GO:0030855),0.0018790923323901791,38.19230769230769,239.73183291162474,"['AKT1', 'VEGFA']",0.00849573578507602,GO_Biological_Process_2023
Positive Regulation Of Intracellular Signal Transduction (GO:1902533),0.0018804790670523997,15.983579638752053,100.31660144450963,"['TP53', 'EGFR', 'VEGFA']",0.00849573578507602,GO_Biological_Process_2023
Regulation Of Protein Kinase B Signaling (GO:0051896),0.0019930221646429452,37.04477611940298,230.34823784060453,"['PTEN', 'EGFR']",0.008950910195053226,GO_Biological_Process_2023
Ras Protein Signal Transduction (GO:0007265),0.0022305453683866745,34.943661971830984,213.34884837859187,"['CDK2', 'TP53']",0.009958729027091094,GO_Biological_Process_2023
Negative Regulation Of Response To External Stimulus (GO:0032102),0.0022919315983961,34.454861111111114,209.42906075382993,"['PTEN', 'AKT1']",0.010030477613361526,GO_Biological_Process_2023
Negative Regulation Of Protein Metabolic Process (GO:0051248),0.0023229246092663436,34.21551724137931,207.51465812385604,"['AKT1', 'EGFR']",0.010030477613361526,GO_Biological_Process_2023
Negative Regulation Of Protein Phosphorylation (GO:0001933),0.0023855095888930286,33.74659863945578,203.77352124587753,"['PTEN', 'AKT1']",0.010030477613361526,GO_Biological_Process_2023
Cellular Response To Organic Cyclic Compound (GO:0071407),0.002480881956539845,33.06666666666667,198.3716008384541,"['BRCA1', 'EGFR']",0.010030477613361526,GO_Biological_Process_2023
Negative Regulation Of Excitatory Postsynaptic Potential (GO:0090394),0.0024977078641967437,555.1666666666666,3326.7706415121643,['PTEN'],0.010030477613361526,GO_Biological_Process_2023
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),0.0024977078641967437,555.1666666666666,3326.7706415121643,['MYC'],0.010030477613361526,GO_Biological_Process_2023
ERBB2-EGFR Signaling Pathway (GO:0038134),0.0024977078641967437,555.1666666666666,3326.7706415121643,['EGFR'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Histone Deacetylase Activity (GO:1901725),0.0024977078641967437,555.1666666666666,3326.7706415121643,['VEGFA'],0.010030477613361526,GO_Biological_Process_2023
Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway (GO:0036324),0.0024977078641967437,555.1666666666666,3326.7706415121643,['VEGFA'],0.010030477613361526,GO_Biological_Process_2023
Venous Blood Vessel Morphogenesis (GO:0048845),0.0024977078641967437,555.1666666666666,3326.7706415121643,['VEGFA'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746),0.0024977078641967437,555.1666666666666,3326.7706415121643,['AKT1'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Macrophage Proliferation (GO:0120040),0.0024977078641967437,555.1666666666666,3326.7706415121643,['MAPK1'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Mast Cell Chemotaxis (GO:0060753),0.0024977078641967437,555.1666666666666,3326.7706415121643,['VEGFA'],0.010030477613361526,GO_Biological_Process_2023
Postsynaptic Density Assembly (GO:0097107),0.0024977078641967437,555.1666666666666,3326.7706415121643,['PTEN'],0.010030477613361526,GO_Biological_Process_2023
Prepulse Inhibition (GO:0060134),0.0024977078641967437,555.1666666666666,3326.7706415121643,['PTEN'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Retinal Ganglion Cell Axon Guidance (GO:0090259),0.0024977078641967437,555.1666666666666,3326.7706415121643,['VEGFA'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Thymocyte Apoptotic Process (GO:0070243),0.0024977078641967437,555.1666666666666,3326.7706415121643,['TP53'],0.010030477613361526,GO_Biological_Process_2023
Negative Regulation Of Cell Size (GO:0045792),0.0024977078641967437,555.1666666666666,3326.7706415121643,['PTEN'],0.010030477613361526,GO_Biological_Process_2023
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043),0.0024977078641967437,555.1666666666666,3326.7706415121643,['PTEN'],0.010030477613361526,GO_Biological_Process_2023
Regulation Of Macromolecule Metabolic Process (GO:0060255),0.0028116916244772232,30.984375,182.00125746513936,"['MYC', 'CDK2']",0.011231968120937961,GO_Biological_Process_2023
Negative Regulation Of Dendritic Spine Development (GO:0061000),0.002996578172872153,444.1111111111111,2580.4117942926405,['PTEN'],0.01125941996638596,GO_Biological_Process_2023
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025),0.002996578172872153,444.1111111111111,2580.4117942926405,['BRCA1'],0.01125941996638596,GO_Biological_Process_2023
Positive Regulation Of Kidney Development (GO:0090184),0.002996578172872153,444.1111111111111,2580.4117942926405,['MYC'],0.01125941996638596,GO_Biological_Process_2023
Vascular Associated Smooth Muscle Cell Development (GO:0097084),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Vascular Wound Healing (GO:0061042),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303),0.002996578172872153,444.1111111111111,2580.4117942926405,['MYC'],0.01125941996638596,GO_Biological_Process_2023
Positive Regulation Of Trophoblast Cell Migration (GO:1901165),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Locomotor Rhythm (GO:0045475),0.002996578172872153,444.1111111111111,2580.4117942926405,['PTEN'],0.01125941996638596,GO_Biological_Process_2023
Regulation Of Axon Guidance (GO:1902667),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Regulation Of Blood-Brain Barrier Permeability (GO:1905603),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Negative Regulation Of Cardiocyte Differentiation (GO:1905208),0.002996578172872153,444.1111111111111,2580.4117942926405,['EGFR'],0.01125941996638596,GO_Biological_Process_2023
Positive Regulation Of Deacetylase Activity (GO:0090045),0.002996578172872153,444.1111111111111,2580.4117942926405,['VEGFA'],0.01125941996638596,GO_Biological_Process_2023
Heart Development (GO:0007507),0.003126287270313291,29.321005917159763,169.1208984373564,"['PTEN', 'VEGFA']",0.011688926296393044,GO_Biological_Process_2023
Regulation Of Neuron Projection Development (GO:0010975),0.0032346816302637597,28.805232558139537,165.16415594776484,"['PTEN', 'AKT1']",0.011976211499366798,GO_Biological_Process_2023
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),0.0032346816302637597,28.805232558139537,165.16415594776484,"['AKT1', 'MTOR']",0.011976211499366798,GO_Biological_Process_2023
Negative Regulation Of Fatty Acid Oxidation (GO:0046322),0.0034952242970889957,370.0740740740741,2093.271349114512,['AKT1'],0.012058523824957037,GO_Biological_Process_2023
Stress-Induced Premature Senescence (GO:0090400),0.0034952242970889957,370.0740740740741,2093.271349114512,['TP53'],0.012058523824957037,GO_Biological_Process_2023
ER Overload Response (GO:0006983),0.0034952242970889957,370.0740740740741,2093.271349114512,['TP53'],0.012058523824957037,GO_Biological_Process_2023
Regulation Of Heterochromatin Formation (GO:0031445),0.0034952242970889957,370.0740740740741,2093.271349114512,['CDK2'],0.012058523824957037,GO_Biological_Process_2023
Histone H2A K63-linked Deubiquitination (GO:0070537),0.0034952242970889957,370.0740740740741,2093.271349114512,['BRCA1'],0.012058523824957037,GO_Biological_Process_2023
Regulation Of Myeloid Leukocyte Differentiation (GO:0002761),0.0034952242970889957,370.0740740740741,2093.271349114512,['MTOR'],0.012058523824957037,GO_Biological_Process_2023
Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748),0.0034952242970889957,370.0740740740741,2093.271349114512,['VEGFA'],0.012058523824957037,GO_Biological_Process_2023
Postsynaptic Density Organization (GO:0097106),0.0034952242970889957,370.0740740740741,2093.271349114512,['PTEN'],0.012058523824957037,GO_Biological_Process_2023
Regulation Of Positive Chemotaxis (GO:0050926),0.0034952242970889957,370.0740740740741,2093.271349114512,['VEGFA'],0.012058523824957037,GO_Biological_Process_2023
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia (GO:0061418),0.0034952242970889957,370.0740740740741,2093.271349114512,['VEGFA'],0.012058523824957037,GO_Biological_Process_2023
Cellular Response To Nitric Oxide (GO:0071732),0.0034952242970889957,370.0740740740741,2093.271349114512,['CDK2'],0.012058523824957037,GO_Biological_Process_2023
Cellular Response To Reactive Nitrogen Species (GO:1902170),0.0034952242970889957,370.0740740740741,2093.271349114512,['CDK2'],0.012058523824957037,GO_Biological_Process_2023
Coronary Vasculature Morphogenesis (GO:0060977),0.0034952242970889957,370.0740740740741,2093.271349114512,['VEGFA'],0.012058523824957037,GO_Biological_Process_2023
Positive Regulation Of Cell Migration By Vascular Endothelial Growth Factor Signaling Pathway (GO:0038089),0.0034952242970889957,370.0740740740741,2093.271349114512,['VEGFA'],0.012058523824957037,GO_Biological_Process_2023
Positive Regulation Of Execution Phase Of Apoptosis (GO:1900119),0.0034952242970889957,370.0740740740741,2093.271349114512,['TP53'],0.012058523824957037,GO_Biological_Process_2023
Phosphate-Containing Compound Metabolic Process (GO:0006796),0.0036086619467618486,27.208791208791208,153.03362121513777,"['AKT1', 'MTOR']",0.012393549400869877,GO_Biological_Process_2023
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)",0.0039936462613403625,317.1904761904762,1751.8590547314027,['TP53'],0.012953750052809125,GO_Biological_Process_2023
Regulation Of Helicase Activity (GO:0051095),0.0039936462613403625,317.1904761904762,1751.8590547314027,['TP53'],0.012953750052809125,GO_Biological_Process_2023
Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253),0.0039936462613403625,317.1904761904762,1751.8590547314027,['MYC'],0.012953750052809125,GO_Biological_Process_2023
Positive Regulation Of Protein Kinase C Signaling (GO:0090037),0.0039936462613403625,317.1904761904762,1751.8590547314027,['VEGFA'],0.012953750052809125,GO_Biological_Process_2023
Anoikis (GO:0043276),0.0039936462613403625,317.1904761904762,1751.8590547314027,['MTOR'],0.012953750052809125,GO_Biological_Process_2023
Lactation (GO:0007595),0.0039936462613403625,317.1904761904762,1751.8590547314027,['VEGFA'],0.012953750052809125,GO_Biological_Process_2023
Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),0.0039936462613403625,317.1904761904762,1751.8590547314027,['PTEN'],0.012953750052809125,GO_Biological_Process_2023
Regulation Of Organ Growth (GO:0046620),0.0039936462613403625,317.1904761904762,1751.8590547314027,['PTEN'],0.012953750052809125,GO_Biological_Process_2023
Presynaptic Membrane Assembly (GO:0097105),0.0039936462613403625,317.1904761904762,1751.8590547314027,['PTEN'],0.012953750052809125,GO_Biological_Process_2023
Regulation Of DNA Methylation (GO:0044030),0.0039936462613403625,317.1904761904762,1751.8590547314027,['MYC'],0.012953750052809125,GO_Biological_Process_2023
Commissural Neuron Axon Guidance (GO:0071679),0.0039936462613403625,317.1904761904762,1751.8590547314027,['VEGFA'],0.012953750052809125,GO_Biological_Process_2023
Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589),0.0039936462613403625,317.1904761904762,1751.8590547314027,['VEGFA'],0.012953750052809125,GO_Biological_Process_2023
Endothelial Cell Chemotaxis (GO:0035767),0.0039936462613403625,317.1904761904762,1751.8590547314027,['VEGFA'],0.012953750052809125,GO_Biological_Process_2023
Regulation Of Programmed Cell Death (GO:0043067),0.00404239520470533,25.64378238341969,141.32077911012436,"['AKT1', 'TP53']",0.013056076427112108,GO_Biological_Process_2023
Positive Regulation Of Protein Metabolic Process (GO:0051247),0.00408297961837735,25.510309278350515,140.33038119190527,"['AKT1', 'MTOR']",0.013131277670967834,GO_Biological_Process_2023
Regulation Of MAPK Cascade (GO:0043408),0.004414540647712871,24.49009900990099,132.80617000141103,"['MAPK1', 'EGFR']",0.013369841872943999,GO_Biological_Process_2023
Regulation Of Angiogenesis (GO:0045765),0.004456844061438374,24.36822660098522,131.91287130282834,"['BRCA1', 'VEGFA']",0.013369841872943999,GO_Biological_Process_2023
"DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)",0.004491844107510829,277.52777777777777,1500.1741678966396,['TP53'],0.013369841872943999,GO_Biological_Process_2023
Excitatory Synapse Assembly (GO:1904861),0.004491844107510829,277.52777777777777,1500.1741678966396,['PTEN'],0.013369841872943999,GO_Biological_Process_2023
Positive Regulation Of Keratinocyte Migration (GO:0051549),0.004491844107510829,277.52777777777777,1500.1741678966396,['MTOR'],0.013369841872943999,GO_Biological_Process_2023
Telomere Maintenance Via Recombination (GO:0000722),0.004491844107510829,277.52777777777777,1500.1741678966396,['PTEN'],0.013369841872943999,GO_Biological_Process_2023
Positive Regulation Of Mesenchymal Cell Proliferation (GO:0002053),0.004491844107510829,277.52777777777777,1500.1741678966396,['MYC'],0.013369841872943999,GO_Biological_Process_2023
Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014067),0.004491844107510829,277.52777777777777,1500.1741678966396,['PTEN'],0.013369841872943999,GO_Biological_Process_2023
Hematopoietic Stem Cell Differentiation (GO:0060218),0.004491844107510829,277.52777777777777,1500.1741678966396,['TP53'],0.013369841872943999,GO_Biological_Process_2023
Homologous Recombination (GO:0035825),0.004491844107510829,277.52777777777777,1500.1741678966396,['BRCA1'],0.013369841872943999,GO_Biological_Process_2023
Negative Regulation Of Telomerase Activity (GO:0051974),0.004491844107510829,277.52777777777777,1500.1741678966396,['TP53'],0.013369841872943999,GO_Biological_Process_2023
Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838),0.004491844107510829,277.52777777777777,1500.1741678966396,['MTOR'],0.013369841872943999,GO_Biological_Process_2023
Presynaptic Membrane Organization (GO:0097090),0.004491844107510829,277.52777777777777,1500.1741678966396,['PTEN'],0.013369841872943999,GO_Biological_Process_2023
Camera-Type Eye Morphogenesis (GO:0048593),0.004491844107510829,277.52777777777777,1500.1741678966396,['VEGFA'],0.013369841872943999,GO_Biological_Process_2023
Protein K6-linked Ubiquitination (GO:0085020),0.004491844107510829,277.52777777777777,1500.1741678966396,['BRCA1'],0.013369841872943999,GO_Biological_Process_2023
Cellular Response To Oxidised Low-Density Lipoprotein Particle Stimulus (GO:0140052),0.004491844107510829,277.52777777777777,1500.1741678966396,['AKT1'],0.013369841872943999,GO_Biological_Process_2023
Positive Regulation Of T Cell Apoptotic Process (GO:0070234),0.004491844107510829,277.52777777777777,1500.1741678966396,['TP53'],0.013369841872943999,GO_Biological_Process_2023
Myelin Maintenance (GO:0043217),0.004491844107510829,277.52777777777777,1500.1741678966396,['PTEN'],0.013369841872943999,GO_Biological_Process_2023
Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000048),0.004491844107510829,277.52777777777777,1500.1741678966396,['VEGFA'],0.013369841872943999,GO_Biological_Process_2023
Negative Regulation Of Cell Differentiation (GO:0045596),0.00454202129987182,24.128048780487806,130.15593968187437,"['PTEN', 'EGFR']",0.013466383463291843,GO_Biological_Process_2023
Steroid Hormone Mediated Signaling Pathway (GO:0043401),0.0049898178893478615,246.679012345679,1307.4865498601448,['MAPK1'],0.014184538494438303,GO_Biological_Process_2023
Surfactant Homeostasis (GO:0043129),0.0049898178893478615,246.679012345679,1307.4865498601448,['VEGFA'],0.014184538494438303,GO_Biological_Process_2023
Negative Regulation Of Lymphocyte Migration (GO:2000402),0.0049898178893478615,246.679012345679,1307.4865498601448,['AKT1'],0.014184538494438303,GO_Biological_Process_2023
TORC1 Signaling (GO:0038202),0.0049898178893478615,246.679012345679,1307.4865498601448,['MTOR'],0.014184538494438303,GO_Biological_Process_2023
Induction Of Positive Chemotaxis (GO:0050930),0.0049898178893478615,246.679012345679,1307.4865498601448,['VEGFA'],0.014184538494438303,GO_Biological_Process_2023
Angiogenesis Involved In Wound Healing (GO:0060055),0.0049898178893478615,246.679012345679,1307.4865498601448,['VEGFA'],0.014184538494438303,GO_Biological_Process_2023
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440),0.0049898178893478615,246.679012345679,1307.4865498601448,['TP53'],0.014184538494438303,GO_Biological_Process_2023
Cellular Response To Leucine (GO:0071233),0.0049898178893478615,246.679012345679,1307.4865498601448,['MTOR'],0.014184538494438303,GO_Biological_Process_2023
Monocyte Differentiation (GO:0030224),0.0049898178893478615,246.679012345679,1307.4865498601448,['VEGFA'],0.014184538494438303,GO_Biological_Process_2023
Response To Leucine (GO:0043201),0.0049898178893478615,246.679012345679,1307.4865498601448,['MTOR'],0.014184538494438303,GO_Biological_Process_2023
Positive Regulation Of Cellular Senescence (GO:2000774),0.0049898178893478615,246.679012345679,1307.4865498601448,['TP53'],0.014184538494438303,GO_Biological_Process_2023
Positive Regulation Of Cell Motility (GO:2000147),0.005159455023478336,22.569634703196346,118.87255792693317,"['EGFR', 'VEGFA']",0.014612038667239018,GO_Biological_Process_2023
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.005427739873833209,10.843984962406015,56.56474636945526,"['MYC', 'TP53', 'VEGFA']",0.01471754014412868,GO_Biological_Process_2023
Regulation Of Cytoplasmic Transport (GO:1903649),0.005487567669022947,222.0,1155.5699775561973,['MAPK1'],0.01471754014412868,GO_Biological_Process_2023
Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903037),0.005487567669022947,222.0,1155.5699775561973,['AKT1'],0.01471754014412868,GO_Biological_Process_2023
Histone H2A Ubiquitination (GO:0033522),0.005487567669022947,222.0,1155.5699775561973,['BRCA1'],0.01471754014412868,GO_Biological_Process_2023
Regulation Of Mesenchymal Cell Proliferation (GO:0010464),0.005487567669022947,222.0,1155.5699775561973,['MYC'],0.01471754014412868,GO_Biological_Process_2023
Negative Regulation Of Vascular Permeability (GO:0043116),0.005487567669022947,222.0,1155.5699775561973,['VEGFA'],0.01471754014412868,GO_Biological_Process_2023
Positive Regulation Of Vascular Permeability (GO:0043117),0.005487567669022947,222.0,1155.5699775561973,['VEGFA'],0.01471754014412868,GO_Biological_Process_2023
Brain Morphogenesis (GO:0048854),0.005487567669022947,222.0,1155.5699775561973,['PTEN'],0.01471754014412868,GO_Biological_Process_2023
Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070302),0.005487567669022947,222.0,1155.5699775561973,['MAPK1'],0.01471754014412868,GO_Biological_Process_2023
Central Nervous System Myelination (GO:0022010),0.005487567669022947,222.0,1155.5699775561973,['PTEN'],0.01471754014412868,GO_Biological_Process_2023
Central Nervous System Neuron Axonogenesis (GO:0021955),0.005487567669022947,222.0,1155.5699775561973,['PTEN'],0.01471754014412868,GO_Biological_Process_2023
Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190),0.005487567669022947,222.0,1155.5699775561973,['VEGFA'],0.01471754014412868,GO_Biological_Process_2023
Response To Nitric Oxide (GO:0071731),0.005487567669022947,222.0,1155.5699775561973,['CDK2'],0.01471754014412868,GO_Biological_Process_2023
Negative Regulation Of Cell Division (GO:0051782),0.005487567669022947,222.0,1155.5699775561973,['MYC'],0.01471754014412868,GO_Biological_Process_2023
Regulation Of Cell Cycle Checkpoint (GO:1901976),0.005487567669022947,222.0,1155.5699775561973,['BRCA1'],0.01471754014412868,GO_Biological_Process_2023
Negative Regulation Of Multicellular Organismal Process (GO:0051241),0.005623018936182728,21.573144104803493,111.7680128251617,"['PTEN', 'EGFR']",0.015027716100572854,GO_Biological_Process_2023
Positive Regulation Of Histone H3-K4 Methylation (GO:0051571),0.00598509351248777,201.8080808080808,1032.9512945731403,['BRCA1'],0.01550404769958436,GO_Biological_Process_2023
Eye Photoreceptor Cell Differentiation (GO:0001754),0.00598509351248777,201.8080808080808,1032.9512945731403,['VEGFA'],0.01550404769958436,GO_Biological_Process_2023
Negative Regulation Of Mononuclear Cell Migration (GO:0071676),0.00598509351248777,201.8080808080808,1032.9512945731403,['AKT1'],0.01550404769958436,GO_Biological_Process_2023
Histone Monoubiquitination (GO:0010390),0.00598509351248777,201.8080808080808,1032.9512945731403,['BRCA1'],0.01550404769958436,GO_Biological_Process_2023
Regulation Of Lymphocyte Migration (GO:2000401),0.00598509351248777,201.8080808080808,1032.9512945731403,['AKT1'],0.01550404769958436,GO_Biological_Process_2023
Regulation Of Monooxygenase Activity (GO:0032768),0.00598509351248777,201.8080808080808,1032.9512945731403,['EGFR'],0.01550404769958436,GO_Biological_Process_2023
Cellular Response To Leucine Starvation (GO:1990253),0.00598509351248777,201.8080808080808,1032.9512945731403,['MTOR'],0.01550404769958436,GO_Biological_Process_2023
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618),0.00598509351248777,201.8080808080808,1032.9512945731403,['TP53'],0.01550404769958436,GO_Biological_Process_2023
Negative Regulation Of Cell Cycle Phase Transition (GO:1901988),0.00598509351248777,201.8080808080808,1032.9512945731403,['PTEN'],0.01550404769958436,GO_Biological_Process_2023
Regulation Of Autophagy (GO:0010506),0.006105184912210327,20.660041841004183,105.3376381387371,"['AKT1', 'MTOR']",0.015761344722338904,GO_Biological_Process_2023
Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.00625343833308844,20.40082644628099,103.52652010142782,"['PTEN', 'EGFR']",0.015922777276557065,GO_Biological_Process_2023
Positive Regulation Of Heterochromatin Formation (GO:0031453),0.006482395492037067,184.9814814814815,932.059746399125,['CDK2'],0.015922777276557065,GO_Biological_Process_2023
Positive Regulation Of Histone Deacetylation (GO:0031065),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
Eye Photoreceptor Cell Development (GO:0042462),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
ERBB2 Signaling Pathway (GO:0038128),0.006482395492037067,184.9814814814815,932.059746399125,['EGFR'],0.015922777276557065,GO_Biological_Process_2023
Positive Regulation Of Macrophage Chemotaxis (GO:0010759),0.006482395492037067,184.9814814814815,932.059746399125,['MAPK1'],0.015922777276557065,GO_Biological_Process_2023
Regulation Of Fatty Acid Beta-Oxidation (GO:0031998),0.006482395492037067,184.9814814814815,932.059746399125,['AKT1'],0.015922777276557065,GO_Biological_Process_2023
Regulation Of Leukocyte Migration (GO:0002685),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
Body Fluid Secretion (GO:0007589),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
Branching Involved In Blood Vessel Morphogenesis (GO:0001569),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
Peptidyl-Tyrosine Autophosphorylation (GO:0038083),0.006482395492037067,184.9814814814815,932.059746399125,['EGFR'],0.015922777276557065,GO_Biological_Process_2023
Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901836),0.006482395492037067,184.9814814814815,932.059746399125,['MTOR'],0.015922777276557065,GO_Biological_Process_2023
Regulation Of Trophoblast Cell Migration (GO:1901163),0.006482395492037067,184.9814814814815,932.059746399125,['VEGFA'],0.015922777276557065,GO_Biological_Process_2023
